File: Shaanxi_Residential.csv
Total change points detected: 43
After filtering seasonal patterns: 37
Total significant points found: 32
Top significant points (limit=10): 10

Point 1:
  Date: 2019-02-25
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0445
    relative_magnitude: 1.0527
    slope_change: 0.0016
    var_change: 0.0001
    stability: 0.9743
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.0000
    year_cycle: 0.0000
    month_cycle: 0.0000
    seasonal_score: 0.0000
    jump_strength: 0.0043
    ks_stat: 1.0000
    ks_pvalue_significant: Yes
    mw_stat: 1.0000
    t_stat: 12.0624
    t_pvalue_significant: Yes

Point 2:
  Date: 2019-11-17
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0464
    relative_magnitude: 1.1123
    slope_change: 0.0005
    var_change: 0.0001
    stability: 0.9739
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.5372
    year_cycle: 0.0000
    month_cycle: 0.2717
    seasonal_score: 0.2019
    jump_strength: 0.0159
    ks_stat: 0.9000
    ks_pvalue_significant: Yes
    mw_stat: 0.0178
    t_stat: 13.1769
    t_pvalue_significant: Yes

Point 3:
  Date: 2020-04-25
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0293
    relative_magnitude: 0.5712
    slope_change: 0.0007
    var_change: 0.0002
    stability: 0.9827
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.3638
    year_cycle: 0.7811
    month_cycle: 0.4424
    seasonal_score: 0.2927
    jump_strength: 0.0011
    ks_stat: 0.8667
    ks_pvalue_significant: Yes
    mw_stat: 0.9856
    t_stat: 11.2921
    t_pvalue_significant: Yes

Point 4:
  Date: 2020-10-02
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0188
    relative_magnitude: 1.9113
    slope_change: 0.0001
    var_change: 0.0000
    stability: 0.9894
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.4356
    year_cycle: 0.3973
    month_cycle: 0.5410
    seasonal_score: 0.2714
    jump_strength: 0.0047
    ks_stat: 0.9667
    ks_pvalue_significant: Yes
    mw_stat: 0.0022
    t_stat: 13.6374
    t_pvalue_significant: Yes

Point 5:
  Date: 2020-11-21
  Type: Event
  Confidence: 0.56
  Features:
    magnitude: 0.0602
    relative_magnitude: 1.3865
    slope_change: 0.0007
    var_change: 0.0001
    stability: 0.9686
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.3984
    year_cycle: 0.1643
    month_cycle: 0.3352
    seasonal_score: 0.1944
    jump_strength: 0.0108
    ks_stat: 1.0000
    ks_pvalue_significant: Yes
    mw_stat: 0.0000
    t_stat: 19.1782
    t_pvalue_significant: Yes

Point 6:
  Date: 2021-10-07
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0249
    relative_magnitude: 1.1956
    slope_change: 0.0000
    var_change: 0.0001
    stability: 0.9853
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.6425
    year_cycle: 0.4036
    month_cycle: 0.0573
    seasonal_score: 0.2619
    jump_strength: 0.0031
    ks_stat: 0.9000
    ks_pvalue_significant: Yes
    mw_stat: 0.0167
    t_stat: 11.5431
    t_pvalue_significant: Yes

Point 7:
  Date: 2022-02-24
  Type: Event
  Confidence: 0.56
  Features:
    magnitude: 0.0704
    relative_magnitude: 2.0785
    slope_change: 0.0011
    var_change: 0.0003
    stability: 0.9629
    periodicity: 0.3876
    seasonal_strength: 0.1724
    similar_pattern: 0.0000
    year_cycle: 0.6504
    month_cycle: 0.0000
    seasonal_score: 0.2526
    jump_strength: 0.0179
    ks_stat: 0.9667
    ks_pvalue_significant: Yes
    mw_stat: 0.9989
    t_stat: 17.0289
    t_pvalue_significant: Yes

Point 8:
  Date: 2023-11-06
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0589
    relative_magnitude: 1.7704
    slope_change: 0.0004
    var_change: 0.0002
    stability: 0.9686
    periodicity: 0.3630
    seasonal_strength: 0.1034
    similar_pattern: 0.0000
    year_cycle: 0.5609
    month_cycle: 0.0000
    seasonal_score: 0.2293
    jump_strength: 0.0187
    ks_stat: 0.9667
    ks_pvalue_significant: Yes
    mw_stat: 0.0011
    t_stat: 16.5142
    t_pvalue_significant: Yes

Point 9:
  Date: 2024-01-20
  Type: Seasonal
  Confidence: 0.63
  Features:
    magnitude: 0.0002
    relative_magnitude: 0.0019
    slope_change: 0.0007
    var_change: 0.0004
    stability: 0.9740
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.4467
    year_cycle: 0.0000
    month_cycle: 0.5480
    seasonal_score: 0.2162
    jump_strength: 0.0118
    ks_stat: 0.3333
    ks_pvalue_significant: No
    mw_stat: 0.4289
    t_stat: 0.0263
    t_pvalue_significant: No

Point 10:
  Date: 2024-11-15
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0515
    relative_magnitude: 1.3537
    slope_change: 0.0017
    var_change: 0.0003
    stability: 0.9708
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.4108
    year_cycle: 0.0000
    month_cycle: 0.3781
    seasonal_score: 0.1800
    jump_strength: 0.0006
    ks_stat: 0.9333
    ks_pvalue_significant: Yes
    mw_stat: 0.0233
    t_stat: 12.6364
    t_pvalue_significant: Yes

