Enhanced Change Points Detection Summary
==================================================

Total files processed: 100

File Name | Sector | Number of Significant Change Points
----------------------------------------------------------------------
Inner_Mongolia_Power | Mongolia | 10
Hubei_Aviation | Aviation | 10
Heilongjiang_Industry | Industry | 10
Hebei_Ground_Transport | Ground | 10
Shanxi_Power | Power | 10
Jilin_Power | Power | 10
Heilongjiang_Aviation | Aviation | 10
Xinjiang_Power | Power | 10
Hubei_Industry | Industry | 10
Gansu_Residential | Residential | 10
Yunnan_Industry | Industry | 10
Qinghai_Aviation | Aviation | 10
Shaanxi_Industry | Industry | 10
Inner_Mongolia_Industry | Mongolia | 10
Shaanxi_Aviation | Aviation | 10
Shandong_Ground_Transport | Ground | 10
Inner_Mongolia_Aviation | Mongolia | 10
Guizhou_Power | Power | 10
Hubei_Power | Power | 10
Yunnan_Aviation | Aviation | 10
Qinghai_Industry | Industry | 10
Henan_Residential | Residential | 10
Anhui_Power | Power | 10
Hubei_Residential | Residential | 10
Qinghai_Residential | Residential | 10
Liaoning_Power | Power | 10
Jilin_Industry | Industry | 10
Jilin_Residential | Residential | 10
Beijing_Aviation | Aviation | 10
Yunnan_Power | Power | 10
Xinjiang_Industry | Industry | 10
Jiangsu_Aviation | Aviation | 10
Xinjiang_Aviation | Aviation | 10
Jiangsu_Industry | Industry | 10
Anhui_Residential | Residential | 10
Liaoning_Ground_Transport | Ground | 10
Beijing_Industry | Industry | 10
Liaoning_Residential | Residential | 10
Jilin_Aviation | Aviation | 10
Gansu_Power | Power | 10
Anhui_Industry | Industry | 10
Henan_Power | Power | 10
Ningxia_Residential | Residential | 10
Jilin_Ground_Transport | Ground | 10
Ningxia_Ground_Transport | Ground | 10
Inner_Mongolia_Ground_Transport | Mongolia | 10
Anhui_Aviation | Aviation | 10
Yunnan_Ground_Transport | Ground | 10
Beijing_Ground_Transport | Ground | 10
Shanxi_Aviation | Aviation | 10
Tianjin_Ground_Transport | Ground | 10
Ningxia_Power | Power | 10
Henan_Ground_Transport | Ground | 10
Xinjiang_Residential | Residential | 10
Gansu_Ground_Transport | Ground | 10
Beijing_Power | Power | 10
Shaanxi_Power | Power | 10
Shanxi_Industry | Industry | 10
Hubei_Ground_Transport | Ground | 10
Henan_Aviation | Aviation | 10
Liaoning_Industry | Industry | 10
Shandong_Industry | Industry | 10
Tianjin_Power | Power | 10
Guizhou_Ground_Transport | Ground | 10
Guizhou_Residential | Residential | 10
Shandong_Aviation | Aviation | 10
Liaoning_Aviation | Aviation | 10
Henan_Industry | Industry | 10
Heilongjiang_Ground_Transport | Ground | 10
Hebei_Power | Power | 10
Shaanxi_Ground_Transport | Ground | 10
Heilongjiang_Power | Power | 10
Tianjin_Industry | Industry | 10
Beijing_Residential | Residential | 10
Yunnan_Residential | Residential | 10
Inner_Mongolia_Residential | Mongolia | 10
Anhui_Ground_Transport | Ground | 10
Qinghai_Ground_Transport | Ground | 10
Shanxi_Ground_Transport | Ground | 10
Jiangsu_Residential | Residential | 7
Tianjin_Aviation | Aviation | 10
Hebei_Residential | Residential | 10
Gansu_Aviation | Aviation | 10
Hebei_Industry | Industry | 10
Guizhou_Aviation | Aviation | 10
Jiangsu_Power | Power | 10
Heilongjiang_Residential | Residential | 10
Qinghai_Power | Power | 10
Shaanxi_Residential | Residential | 10
Shandong_Residential | Residential | 10
Shandong_Power | Power | 10
Ningxia_Industry | Industry | 10
Jiangsu_Ground_Transport | Ground | 10
Tianjin_Residential | Residential | 10
Xinjiang_Ground_Transport | Ground | 10
Ningxia_Aviation | Aviation | 10
Guizhou_Industry | Industry | 10
Hebei_Aviation | Aviation | 10
Gansu_Industry | Industry | 10
Shanxi_Residential | Residential | 10
