# 安徽航空业碳排放相关政策与大事记

分析时间：2025年5月1日下午4点56分
发现1个关键变化点

---

## 重要变化：2020年6月（季节性政策） - 可信度60%

来看看2020年3月到9月期间，安徽航空运输领域都发生了啥：

1. **安徽民航发展专项资金新规**
   - **啥时候出的**：2020年
   - **谁发的**：安徽交通厅和财政厅
   - **重点内容**：航空公司要是新开或经停安徽机场的季节性航线，一个航季飞满8班（16架次）以上，每班最多能拿3万补贴。还有客运增量补贴、货运航线补贴等各种优惠政策。
   - **有啥用**：就是鼓励航空公司多开航班、换大飞机、搞中转联程，把客运货运量都搞上去。
   - **消息来源**：安徽交通厅官网

2. **民航局航班调整新规**
   - **啥时候出的**：2020年3月底
   - **谁发的**：中国民航局
   - **重点内容**：国内外航空公司每个国家每周只能飞一条航线，班次不能超过一班。
   - **有啥用**：主要是为了防控疫情，减少输入病例风险。
   - **消息来源**：知乎专栏

这些就是你要的季节性航班调整、客流变化、疫情影响这些信息啦，希望对你有帮助~
