# Anhui省/市 Aviation部门 碳排放变点相关政策与事件汇总

分析时间: 2025-05-01 16:56:12
共包含 1 个重要转折点的相关信息

---

## 转折点: 2020-06-24 (Seasonal) - 置信度: 0.60

以下是关于安徽省在2020年06月（2020年03月至2020年09月）航空运输领域的具体季节性政策和事件的信息：

1. **安徽省民航发展专项资金使用管理办法**
   - **发布日期**：2020年
   - **发布机构**：安徽省交通运输厅、财政厅
   - **核心内容**：对新开始发或经停本省相关机场的季节性客运航线航班，且一个航季内执飞航班量达8班（16架次）及以上的，每班补助最高3万元。客运增量补助、新增过夜飞机客运补助、异地城市候机楼客运补助、货运航线航班补助等多项补助政策被提出。
   - **预期影响**：通过资金补助，航班加密、机型小改大、中转联程等项目被促进，客运量和货运量被增加。
   - **信息来源**：[安徽省交通运输厅](https://jtt.ah.gov.cn/public/21701/121239031.html)

2. **中国民用航空局发布航班计划调整政策**
   - **发布日期**：2020年3月底
   - **发布机构**：中国民用航空局
   - **核心内容**：国内外航空公司被要求每周对每个目的地国家只能保留一条航线，且每周运营班次不得超过一班。
   - **预期影响**：输入病例数量被限制，航班量被减少，航空运输对疫情的传播风险被降低。
   - **信息来源**：[知乎专栏](https://zhuanlan.zhihu.com/p/153300375)

以上信息涵盖了您所要求的季节性航班计划、航线调整政策、客流量变化、航班量和客运量变化以及疫情对航空业恢复的相关政策和报道。希望这些信息对您有所帮助。
