# 安徽各地碳排放政策大事记

分析时间：2025年5月1日下午4点56分
整理出2个关键节点

---

## 节点一：2023年7月（可信度58%）

1. **安徽工业减碳方案**
   - **啥时候出的**：2023年
   - **谁发的**：安徽工信厅
   - **主要内容**：要搞产业升级，重点扶持绿色产业，给制造业指明低碳转型的路子
   - **有啥用**：让工厂更节能，绿色产业能发展起来
   - **出处**：安徽工信厅官网

2. **工业节能三年计划**
   - **时间**：2023-2025年
   - **发布单位**：还是安徽工信厅
   - **重点**：挖潜工业节能空间，重点行业该怎么改造升级
   - **效果**：省电省能源，少排碳
   - **文件来源**：工信厅官网PDF

3. **电力需求响应方案**
   - **实施时间**：2025年
   - **谁定的**：安徽省能源局
   - **要点**：跟兄弟省份取经，加强电力调度能力
   - **好处**：用电高峰时能更好调节，减少碳排放
   - **官网链接**：省能源局网站

---

## 节点二：2023年9月（可信度60%）

1. **新版电力方案**
   - **发布时间**：2025年4月
   - **发布单位**：省能源局
   - **新变化**：参照国家新规，结合本省实际情况调整
   - **作用**：让电力调度更灵活，促进节能减排
   - **官网地址**：能源局网站

2. **碳交易达标**
   - **完成时间**：2024年底
   - **负责单位**：省生态环境厅
   - **成绩单**：完成2.3亿吨碳交易，连续3年100%达标
   - **意义**：推动双碳目标，帮企业争取减排资源
   - **信息来源**：生态环境厅官网
