# 安徽工业碳排放政策与大事记

分析时间：2025年5月1日下午4点56分
共找到10个关键节点

---

## 节点：2019年1月（可信度56%）

安徽在2019年1月前后搞了几个大动作：

1. **《安徽工业碳达峰方案》出台**
   - 时间：2019年1月
   - 主要内容：给工业节能降碳划重点，指明重点行业改造方向，带着制造业往绿色转型走
   - 详情见：[安徽工信厅官网](https://jx.ah.gov.cn/public/6991/149936111.html)

2. **重点企业碳排放核查**
   - 时间：2019年7月
   - 干了啥：查了全省191家大企业的排放报告，给后面搞碳交易打基础
   - 详情见：[安徽环保厅](https://sthjt.ah.gov.cn/hbzx/gzdt/stdt/119250701.html)

---

## 节点：2019年3月（可信度65%）

1. **整治"散乱污"企业**
   - 时间：2019年
   - 成果：全省查了快2万家，整治了将近1万9
   - 效果：该关的关，该改的改，污染排放降下来了
   - 详情见：[安徽统计局](https://tjj.ah.gov.cn/public/6981/145589111.html)

2. **高科技产业发力**
   - 时间：2019年
   - 变化：高科技产业对工业增长的贡献从2015年的17.6%涨到27.8%
   - 效果：绿色产业起来了，碳排放自然就少了
   - 详情见：[同上]

---

## 节点：2020年1月&2月（可信度56%）

这俩月没找到相关大动作

---

## 节点：2020年9月（可信度64%）

1. **"十四五"工业绿色规划**
   - 时间：2020年9月
   - 目标：到2025年，工业能耗降15%，碳排放降18%
   - 详情见：[安徽经信厅](https://jx.ah.gov.cn/public/6991/147241771.html)

2. **碳达峰方案**
   - 时间：2022年（规划到2030年）
   - 目标：2025年非化石能源占比超15.5%
   - 详情见：[安徽政府文件](https://icn.ustc.edu.cn/_upload/article/files/09/1b/b99fe0774d3a894685d494c56d39/d8407fff-6896-4d5d-a040-2d02986af660.pdf)

---

## 节点：2021年3月（可信度68%）

1. **工业碳达峰方案**
   - 时间：2021年3月
   - 目标：2025年重点行业30%产能达到能效标杆
   - 详情见：[安徽发改委文件](https://www.ndrc.gov.cn/xwdt/ztzl/ghnhyjnjdgzsj/zcwj/202206/P020220608576725875498.pdf)

2. **节能减排方案**
   - 时间：2021年3月
   - 重点：挖工业节能潜力
   - 详情见：[安徽经信厅](https://jx.ah.gov.cn/public/6991/148998611.html)

---

## 节点：2022年1月（可信度56%）

1. **工业碳达峰方案**
   - 时间：2022年
   - 重点：指明行业改造方向
   - 详情见：[安徽工信厅](https://jx.ah.gov.cn/public/6991/147241771.html)

2. **工业能效提升计划**
   - 时间：2022年
   - 目标：降低产品单耗
   - 详情见：[同上]

3. **碳中和技术方案**
   - 时间：2022年
   - 重点：搞绿色技术创新
   - 详情见：[安徽科技厅](https://kjt.ah.gov.cn/kjzx/tzgg/121324191.html)

---

## 节点：2022年3月（可信度68%）

1. **工业碳达峰方案**
   - 时间：2022年3月
   - 目标：2025年碳排放比2020年降18%
   - 详情见：[安徽工信厅](https://jx.ah.gov.cn/public/6991/147241771.html)

2. **科技支撑方案**
   - 时间：2022年3月
   - 目标：2025年前搞出30项重大成果
   - 详情见：[安徽科技厅](https://kjt.ah.gov.cn/group5/M00/05/BE/wKg8v2Q4wOqAa0_1AAUx4CZNF4Q982.pdf)

---

## 节点：2023年3月（可信度69%）

1. **工业碳达峰方案**
   - 时间：2023年3月
   - 目标：2025年碳排放降18%
   - 详情见：[安徽经信厅](https://jx.ah.gov.cn/public/6991/147241771.html)

2. **能效提升计划**
   - 时间：2023年3月
   - 重点：对标国际先进水平
   - 详情见：[同上]

3. **严控"两高"项目**
   - 时间：2023年3月
   - 措施：卡死高耗能项目审批
   - 详情见：[安徽经信厅](https://jx.ah.gov.cn/public/6991/148998611.html)

---

## 节点：2023年底（可信度56%）

1. **工业碳达峰方案**
   - 时间：2023年
   - 重点：推绿色制造体系
   - 详情见：[安徽工信厅](https://jx.ah.gov.cn/public/6991/149936111.html)

2. **节能降碳培训会**
   - 时间：2024年12月
   - 成果：前10个月工业能耗降4.1%
   - 详情见：[大皖新闻](http://huanjing.ahwang.cn/hjyaowen/20241206/39263.html)

3. **水泥碳捕集项目**
   - 地点：芜湖
   - 亮点：全球首条水泥碳捕集线
   - 详情见：[安徽环保厅](https://sthjt.ah.gov.cn/public/21691/122317311.html)
