File: Gansu_Aviation.csv
Total change points detected: 122
Total significant points found: 121
Top significant points (limit=10): 10

Point 1:
  Date: 2019-11-01
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0002
    relative_magnitude: 1.8626
    slope_change: 0.0000
    var_change: 0.0000
    stability: 0.9999
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.0000
    year_cycle: 0.0000
    month_cycle: 0.0000
    seasonal_score: 0.0000
    jump_strength: 0.0002
    ks_stat: 1.0000
    ks_pvalue_significant: Yes
    mw_stat: 1.0000
    t_stat: 13.5335
    t_pvalue_significant: Yes

Point 2:
  Date: 2020-01-24
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0015
    relative_magnitude: 3.1402
    slope_change: 0.0002
    var_change: 0.0000
    stability: 0.9991
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.0000
    year_cycle: 0.0000
    month_cycle: 0.0000
    seasonal_score: 0.0000
    jump_strength: 0.0005
    ks_stat: 1.0000
    ks_pvalue_significant: Yes
    mw_stat: 1.0000
    t_stat: 7.1939
    t_pvalue_significant: Yes

Point 3:
  Date: 2021-04-04
  Type: Seasonal
  Confidence: 0.66
  Features:
    magnitude: 0.0000
    relative_magnitude: 0.0253
    slope_change: 0.0000
    var_change: 0.0000
    stability: 0.9999
    periodicity: 0.3669
    seasonal_strength: 0.0714
    similar_pattern: 0.0000
    year_cycle: 0.7301
    month_cycle: 0.2874
    seasonal_score: 0.2994
    jump_strength: 0.0003
    ks_stat: 0.3333
    ks_pvalue_significant: No
    mw_stat: 0.3822
    t_stat: 0.1734
    t_pvalue_significant: No

Point 4:
  Date: 2021-08-03
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0015
    relative_magnitude: 1.2370
    slope_change: 0.0000
    var_change: 0.0000
    stability: 0.9992
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.0000
    year_cycle: 0.0000
    month_cycle: 0.0000
    seasonal_score: 0.0000
    jump_strength: 0.0003
    ks_stat: 0.9333
    ks_pvalue_significant: Yes
    mw_stat: 0.9956
    t_stat: 12.3523
    t_pvalue_significant: Yes

Point 5:
  Date: 2022-03-12
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0011
    relative_magnitude: 1.5660
    slope_change: 0.0000
    var_change: 0.0000
    stability: 0.9994
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.0000
    year_cycle: 0.0000
    month_cycle: 0.4439
    seasonal_score: 0.0666
    jump_strength: 0.0004
    ks_stat: 1.0000
    ks_pvalue_significant: Yes
    mw_stat: 1.0000
    t_stat: 10.7541
    t_pvalue_significant: Yes

Point 6:
  Date: 2022-12-19
  Type: Seasonal
  Confidence: 0.60
  Features:
    magnitude: 0.0000
    relative_magnitude: 0.0449
    slope_change: 0.0000
    var_change: 0.0000
    stability: 0.9997
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.0000
    year_cycle: 0.7210
    month_cycle: 0.8881
    seasonal_score: 0.2414
    jump_strength: 0.0002
    ks_stat: 0.3333
    ks_pvalue_significant: No
    mw_stat: 0.4978
    t_stat: 0.4111
    t_pvalue_significant: No

Point 7:
  Date: 2023-09-27
  Type: Seasonal
  Confidence: 0.68
  Features:
    magnitude: 0.0000
    relative_magnitude: 0.0215
    slope_change: 0.0001
    var_change: 0.0000
    stability: 0.9997
    periodicity: 0.4107
    seasonal_strength: 0.0714
    similar_pattern: 0.0000
    year_cycle: 0.8394
    month_cycle: 0.2476
    seasonal_score: 0.3273
    jump_strength: 0.0002
    ks_stat: 0.3333
    ks_pvalue_significant: No
    mw_stat: 0.4889
    t_stat: 0.0700
    t_pvalue_significant: No

Point 8:
  Date: 2023-11-10
  Type: Seasonal
  Confidence: 0.55
  Features:
    magnitude: 0.0000
    relative_magnitude: 0.0300
    slope_change: 0.0000
    var_change: 0.0000
    stability: 0.9998
    periodicity: 0.4581
    seasonal_strength: 0.1429
    similar_pattern: 0.0000
    year_cycle: 0.0000
    month_cycle: 0.4087
    seasonal_score: 0.2445
    jump_strength: 0.0003
    ks_stat: 0.2667
    ks_pvalue_significant: No
    mw_stat: 0.5200
    t_stat: 0.3846
    t_pvalue_significant: No

Point 9:
  Date: 2024-07-01
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0006
    relative_magnitude: 1.6050
    slope_change: 0.0000
    var_change: 0.0000
    stability: 0.9997
    periodicity: 0.0000
    seasonal_strength: 0.0000
    similar_pattern: 0.0000
    year_cycle: 0.0000
    month_cycle: 0.2675
    seasonal_score: 0.0401
    jump_strength: 0.0002
    ks_stat: 1.0000
    ks_pvalue_significant: Yes
    mw_stat: 0.0000
    t_stat: 14.9888
    t_pvalue_significant: Yes

Point 10:
  Date: 2024-09-01
  Type: Event
  Confidence: 0.55
  Features:
    magnitude: 0.0006
    relative_magnitude: 1.7864
    slope_change: 0.0000
    var_change: 0.0000
    stability: 0.9997
    periodicity: 0.4046
    seasonal_strength: 0.1429
    similar_pattern: 0.0000
    year_cycle: 0.0000
    month_cycle: 0.0000
    seasonal_score: 0.1618
    jump_strength: 0.0001
    ks_stat: 1.0000
    ks_pvalue_significant: Yes
    mw_stat: 1.0000
    t_stat: 12.0878
    t_pvalue_significant: Yes

