# 青海省建筑节能和碳排放最新动态

## 2023年7月重要进展

1. **建筑节能新方案**
   - 文件：《青海省加快推动建筑领域节能降碳实施方案》
   - 发布时间：2025年1月14日
   - 负责单位：省发改委、住建厅
   - 主要内容：定了两个目标节点（2025和2027年），要求新建建筑必须达标绿色标准，改造200万平米老房子，提高用电比例，让8%的建筑用上可再生能源。
   - 效果预期：新建绿色建筑更多了，老房子更节能了，能源结构更合理。
   - 原文链接：[点击查看](http://zjt.qinghai.gov.cn/html/14/75769.html)

2. **节能降碳座谈会**
   - 时间：2023年7月3日
   - 主办单位：省发改委牵头多个部门
   - 讨论重点：怎么在重点行业节能减排，优化能源使用，打造几个国际先进的低碳园区。
   - 预期效果：推动重点行业节能减排，优化能源结构。
   - 新闻链接：[点击查看](https://www.ndrc.gov.cn/xwdt/dt/dfdt/202307/t20230706_1358180.html)

## 2024年3月重要进展

1. **还是那个建筑节能方案**
   - 文件名称相同
   - 发布时间相同
   - 这次详细说了9个重点任务：包括新建建筑标准、老房子改造、运行管理、能源转型、供热收费、农村住房改造、绿色施工、拆除管理等。
   - 原文链接同上

2. **碳排放监测新平台**
   - 名称："电力高频数据碳排放"智能监测平台
   - 上线时间：2024年5月19日
   - 负责单位：省统计局
   - 功能亮点：现在能每天监测、每月分析全省碳排放情况了，监测能力大升级。
   - 新闻链接：[点击查看](https://energy.huanqiu.com/article/43DL9FTUWJJ)

（注：没找到关于建筑行业季节性碳排放的具体数据和项目信息）
