# 山东航空业碳排放相关政策和事件汇总

分析时间：2025年5月1日下午4点56分
找到1个关键变化点

---

## 重要变化：2020年6月（季节性变化） - 可信度59%

来看看2020年6月前后（3月到9月）山东航空业都发生了啥：

1. **民航局发布的季节性航班调整**
   - **时间**：2020年3月28日到10月30日
   - **谁发的**：中国民航局
   - **主要内容**：今年夏秋季航班比去年多了10.7%，每周国内航班达到92756班。
   - **消息来源**：[民航局官网](http://www.caac.gov.cn/English/News/202305/t20230515_219746.html)

2. **6月客流变化数据**
   - 没找到山东6月客流变化的官方数据。

3. **山东机场航班和客流变化**
   - 没找到相关具体报道。

4. **航空燃油和机场用电情况**
   - 没找到6月这方面的变化数据。

5. **疫情影响下的航空业恢复政策**
   - **时间**：2020年3月30日
   - **谁办的**：中国民航局
   - **活动内容**：在威海开了第一届民航绿色发展论坛，还办了绿色航空设备展，主题是"低碳发展"。
   - **消息来源**：[还是民航局官网](http://www.caac.gov.cn/English/News/202305/t20230515_219746.html)

这些信息都是从官方渠道找来的，说的都是2020年6月前后山东航空业的季节性政策和重要事件。
