# 天津碳排放政策那些事儿

分析时间：2025年5月1日下午4点多
总共找到2个关键时间点

---

## 第一个重要节点：2020年11月16日（可信度56%）

1. **天津碳排放交易管理办法**
   - 啥时候出的：2020年
   - 谁负责：天津市政府
   - 主要内容：定了碳排放交易的规矩，包括怎么分配额度、怎么交易、怎么完成减排任务这些事，主要就是为了让企业少排点碳。
   - 有啥用：让企业主动减排，调整能源结构，少排点碳。
   - 原文链接：[点这里查看](https://sthj.tj.gov.cn/ZWGK4828/ZCWJ6738/sthjjwj/202012/t20201231_5263663.html)

2. **天津搞绿色能源转型**
   - 啥时候出的：2020年
   - 谁负责：天津发改委
   - 主要内容：要调整能源结构，淘汰落后产能，把新能源和传统能源结合起来用，在工厂、建筑、交通这些地方多用电，目标是到2025年用电比例达到30%。
   - 有啥用：少用化石能源，多用清洁能源，减少碳排放。
   - 原文链接：[点这里查看](https://www.ccdi.gov.cn/yaowenn/202304/t20230412_258293_m.html)

3. **天津能源结构调整**
   - 啥时候出的：2020年
   - 谁负责：天津发改委
   - 主要内容：优化煤炭供应，提高煤电企业长期合同比例，管好煤炭质量和流通环节，必须用达标的好煤。
   - 有啥用：少用劣质煤，减少碳排放。
   - 原文链接：[点这里查看](https://news.bjx.com.cn/html/20220314/1209940.shtml)

---

## 第二个重要节点：2020年11月28日（可信度58%）

1. **天津碳排放交易管理办法（修订版）**
   - 啥时候出的：2020年12月16日
   - 谁负责：天津环保局
   - 主要内容：企业可以用国家认证的减排量来抵消自己的碳排放，参加全国碳市场的企业就不用参加天津本地的了，之前给的额度作废。
   - 有啥用：让企业多减排，帮天津实现碳达峰和碳中和目标。
   - 原文链接：[点这里查看](https://sthj.tj.gov.cn/ZWGK4828/ZCWJ6738/sthjjwj/202012/t20201231_5263663.html)

2. **天津继续搞绿色能源转型**
   - 啥时候出的：2020年11月
   - 谁负责：天津发改委
   - 主要内容：还是说要发展新能源，淘汰落后产能，把新能源和传统能源结合起来，在工厂、建筑、交通这些地方多用电，目标还是2025年用电比例达到30%。
   - 有啥用：减少碳排放，多用清洁能源，让能源结构更绿色。
   - 原文链接：[点这里查看](https://www.ccdi.gov.cn/yaowenn/202304/t20230412_258293_m.html)

3. **天津继续调整能源结构**
   - 啥时候出的：2020年11月
   - 谁负责：天津发改委
   - 主要内容：优化煤炭供应，改革能源价格，创新机制，主要是为了能源供应更安全、更高效。
   - 有啥用：少用煤，多用新能源，提高能源效率，减少碳排放。
   - 原文链接：[点这里查看](https://news.bjx.com.cn/html/20220314/1209940.shtml)
